AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-09,00003,5121177,3099,INR,Deferred Costs,Principal,49450,44415,5035,Break
2023-01-14,00001,6184292,3805,USD,Principal,Deferred Costs,43180,51274,-8094,Break
2023-01-02,00002,7928182,5054,AFN,Principal,Principal,68793,50832,17961,Break
2023-01-21,00002,7766128,6494,USD,Principal,Principal,106614,81727,24887,Break
2023-01-05,00003,3692911,6594,AFN,Deferred Costs,Deferred Costs,70412,56268,14144,Break
2023-01-30,00003,8530571,1346,USD,Principal,Principal,110836,102797,8039,Break
2023-01-22,00004,2451132,2666,INR,Principal,Principal,40932,104285,-63353,Break
2023-01-19,00005,3141591,1807,EUR,Principal,Principal,110206,50956,59250,Break
2023-01-13,00006,1336471,5208,USD,Principal,Deferred Costs,90582,41512,49070,Break
2023-01-16,00006,4878268,4770,ALL,Principal,Principal,103325,108851,-5526,Break
2023-01-11,00002,7145684,6443,EUR,Principal,Deferred Costs,103150,95243,7907,Break
2023-01-10,00004,9877752,2892,ALL,Principal,Deferred Costs,49095,48199,896,Break
2023-01-08,00002,5350378,4844,AFN,Principal,Deferred Costs,106253,55410,50843,Break
2023-01-03,00006,3451557,4334,AFN,Deferred Costs,Principal,66732,66235,497,Break
2023-01-10,00002,8244692,2062,USD,Deferred Costs,Deferred Costs,34927,68900,-33973,Break
2023-01-27,00002,3634658,3874,ISO-4217,Deferred Costs,Principal,113907,62266,51641,Break
2023-01-20,00006,6272866,4028,ALL,Principal,Principal,70072,118340,-48268,Break
2023-01-26,00006,9190136,4813,USD,Principal,Principal,49213,95190,-45977,Break
2023-01-26,00004,7328447,4177,USD,Deferred Costs,Deferred Costs,81796,69382,12414,Break
2023-01-22,00006,5521470,4082,ISO-4217,Principal,Deferred Costs,30582,38686,-8104,Break
2023-01-20,00006,4933061,5384,EUR,Deferred Costs,Principal,114726,100353,14373,Break
2023-01-06,00003,5248884,3947,AFN,Principal,Principal,50069,78713,-28644,Break
2023-01-05,00001,8273949,5343,ALL,Principal,Deferred Costs,110865,47930,62935,Break
2023-01-09,00005,1121718,6249,ISO-4217,Deferred Costs,Principal,114576,86140,28436,Break
2023-01-12,00005,3533610,5941,ISO-4217,Deferred Costs,Principal,49734,79868,-30134,Break
2023-01-02,00001,1242356,2672,EUR,Principal,Deferred Costs,72150,107168,-35018,Break
2023-01-03,00002,6540921,3399,EUR,Deferred Costs,Principal,53316,50691,2625,Break
2023-01-01,00002,7354022,2632,ALL,Deferred Costs,Principal,94043,47192,46851,Break
2023-01-01,00002,3633146,1516,ALL,Deferred Costs,Deferred Costs,86863,51428,35435,Break
2023-01-29,00005,1584982,3503,ALL,Deferred Costs,Principal,53864,63418,-9554,Break
2023-01-18,00006,2368550,1864,AFN,Principal,Principal,95812,57488,38324,Break
2023-01-04,00005,1344468,5190,ALL,Deferred Costs,Principal,104073,73313,30760,Break
2023-01-18,00005,5069974,3147,ALL,Deferred Costs,Deferred Costs,45945,32970,12975,Break
2023-01-20,00006,6275960,5502,AFN,Deferred Costs,Principal,93727,112521,-18794,Break
2023-01-26,00006,5866460,4979,AFN,Principal,Principal,113254,53157,60097,Break
2023-01-04,00003,7319957,4548,ALL,Principal,Deferred Costs,94635,63998,30637,Break
2023-01-10,00002,2632284,6451,USD,Principal,Deferred Costs,93591,79786,13805,Break
2023-01-01,00003,4811458,2344,USD,Deferred Costs,Principal,99577,31656,67921,Break
2023-01-15,00004,2569801,4303,ALL,Principal,Principal,36414,49049,-12635,Break
2023-01-25,00006,6822191,2970,ALL,Principal,Deferred Costs,39121,70461,-31340,Break
2023-01-05,00003,8898149,2367,ALL,Principal,Deferred Costs,56278,39065,17213,Break
2023-01-25,00002,2907192,2558,EUR,Principal,Deferred Costs,112426,113625,-1199,Break
2023-01-11,00004,2290964,6472,USD,Deferred Costs,Deferred Costs,117131,89411,27720,Break
2023-01-26,00006,6389542,1176,ALL,Principal,Deferred Costs,40819,71153,-30334,Break
2023-01-22,00002,8397668,4688,ALL,Deferred Costs,Principal,82060,52012,30048,Break
2023-01-15,00001,1985274,4050,ALL,Deferred Costs,Principal,50390,87453,-37063,Break
2023-01-19,00004,2490767,6363,INR,Deferred Costs,Principal,41271,78861,-37590,Break
2023-01-13,00002,5478922,2321,ISO-4217,Deferred Costs,Deferred Costs,110204,48170,62034,Break
2023-01-26,00006,6239289,5461,INR,Principal,Deferred Costs,57760,105067,-47307,Break
2023-01-20,00001,9253003,4457,AFN,Deferred Costs,Deferred Costs,82534,72328,10206,Break
2023-01-13,00005,9248091,1025,INR,Principal,Principal,66411,95044,-28633,Break
2023-01-13,00004,5170643,5532,EUR,Principal,Deferred Costs,51106,42028,9078,Break
2023-01-23,00005,5058628,2260,EUR,Principal,Principal,115903,96940,18963,Break
2023-01-03,00005,6548990,3324,EUR,Deferred Costs,Principal,95826,65029,30797,Break
2023-01-25,00004,2517661,6629,ALL,Deferred Costs,Principal,93494,62597,30897,Break
2023-01-30,00003,5355376,1471,INR,Deferred Costs,Deferred Costs,74777,85589,-10812,Break
2023-01-15,00004,2425177,5870,INR,Deferred Costs,Principal,72869,64789,8080,Break
2023-01-28,00005,3263038,4515,ALL,Deferred Costs,Principal,52082,87390,-35308,Break
2023-01-08,00002,9917740,3209,ISO-4217,Deferred Costs,Deferred Costs,73721,37784,35937,Break
2023-01-18,00006,3411942,4036,AFN,Deferred Costs,Principal,61475,60702,773,Break
2023-01-06,00001,9296940,4944,AFN,Deferred Costs,Principal,107003,92617,14386,Break
2023-01-01,00006,2113650,5961,ISO-4217,Deferred Costs,Principal,83133,85644,-2511,Break
2023-01-06,00005,8938118,1131,AFN,Principal,Principal,72339,37310,35029,Break
2023-01-29,00004,6504053,4200,AFN,Principal,Deferred Costs,41334,55125,-13791,Break
2023-01-29,00002,7171631,6250,ISO-4217,Deferred Costs,Principal,59513,52952,6561,Break
2023-01-07,00006,3940229,6299,AFN,Principal,Principal,88322,100862,-12540,Break
2023-01-01,00005,5384771,1626,EUR,Principal,Principal,100298,114682,-14384,Break
2023-01-14,00002,3595233,6755,INR,Principal,Principal,61541,34862,26679,Break
2023-01-19,00006,2688090,5951,USD,Principal,Deferred Costs,94125,50034,44091,Break
2023-01-05,00005,4542322,6536,USD,Deferred Costs,Deferred Costs,59648,60681,-1033,Break
2023-01-30,00005,6027841,2294,ALL,Deferred Costs,Deferred Costs,81800,30018,51782,Break
2023-01-22,00001,6375920,4137,ALL,Principal,Deferred Costs,93880,102359,-8479,Break
2023-01-20,00004,2065794,2846,ALL,Deferred Costs,Deferred Costs,72920,67731,5189,Break
2023-01-17,00001,3611477,6036,USD,Principal,Deferred Costs,106700,88288,18412,Break
2023-01-21,00006,5890383,2838,AFN,Deferred Costs,Principal,44244,119482,-75238,Break
2023-01-30,00006,8651119,1349,USD,Deferred Costs,Principal,56578,41154,15424,Break
2023-01-01,00003,9135936,3607,ALL,Principal,Deferred Costs,90767,110216,-19449,Break
2023-01-15,00004,4649855,4579,ISO-4217,Principal,Principal,62492,46823,15669,Break
2023-01-27,00005,8006459,5212,ALL,Principal,Deferred Costs,88443,71485,16958,Break
2023-01-02,00003,4011108,3992,ALL,Principal,Principal,52754,91063,-38309,Break
2023-01-04,00004,2230686,5313,INR,Principal,Principal,38672,35488,3184,Break
2023-01-14,00001,5265338,5240,EUR,Principal,Deferred Costs,53659,87359,-33700,Break
2023-01-13,00004,9856048,5164,INR,Principal,Deferred Costs,81132,107440,-26308,Break
2023-01-23,00005,9232366,2497,ISO-4217,Principal,Deferred Costs,65118,64684,434,Break
2023-01-05,00003,2468225,2615,ALL,Deferred Costs,Deferred Costs,32371,40592,-8221,Break
2023-01-14,00006,1308168,4165,ISO-4217,Principal,Deferred Costs,117392,116389,1003,Break
2023-01-09,00004,6647527,6892,ALL,Principal,Principal,73468,39220,34248,Break
2023-01-08,00002,9005832,4844,AFN,Principal,Principal,80264,78839,1425,Break
2023-01-20,00004,5031186,1456,AFN,Principal,Deferred Costs,100704,119028,-18324,Break
2023-01-05,00002,8640890,6438,USD,Principal,Deferred Costs,113186,87524,25662,Break
2023-01-14,00001,1642832,2983,USD,Principal,Deferred Costs,34546,103760,-69214,Break
2023-01-08,00005,5390325,5650,ISO-4217,Deferred Costs,Principal,113527,53067,60460,Break
2023-01-06,00002,6020355,2649,INR,Deferred Costs,Deferred Costs,65715,59639,6076,Break
2023-01-18,00004,8352093,1519,ISO-4217,Principal,Deferred Costs,97080,60681,36399,Break
2023-01-30,00005,2001226,3461,AFN,Principal,Deferred Costs,31098,37042,-5944,Break
2023-01-24,00006,5648992,3458,ALL,Principal,Principal,108636,62863,45773,Break
2023-01-12,00006,2767963,4399,AFN,Principal,Deferred Costs,106042,71586,34456,Break
2023-01-11,00004,6822630,4887,EUR,Deferred Costs,Deferred Costs,98931,48210,50721,Break
2023-01-13,00005,6707419,1722,INR,Principal,Deferred Costs,69752,53902,15850,Break
2023-01-25,00004,6563441,3681,USD,Principal,Principal,34112,59860,-25748,Break
2023-01-26,00006,1268248,1151,EUR,Deferred Costs,Principal,90662,53155,37507,Break
2023-01-26,00001,7733839,4817,USD,Deferred Costs,Principal,113510,53283,60227,Break
2023-01-12,00001,8858294,5888,AFN,Deferred Costs,Principal,35116,89471,-54355,Break
2023-01-26,00006,7999019,1557,ALL,Principal,Principal,68159,52218,15941,Break
2023-01-09,00006,2771119,1458,EUR,Deferred Costs,Principal,59161,85392,-26231,Break
2023-01-20,00004,9492669,3292,EUR,Principal,Principal,110285,78857,31428,Break
2023-01-26,00003,4535262,1483,USD,Principal,Principal,35551,66892,-31341,Break
2023-01-23,00003,4356691,4567,INR,Principal,Principal,74808,73137,1671,Break
2023-01-16,00005,6550469,2090,INR,Principal,Principal,66810,42539,24271,Break
2023-01-27,00004,7394185,6710,INR,Deferred Costs,Principal,76332,77850,-1518,Break
2023-01-02,00006,7499452,6911,USD,Deferred Costs,Principal,100977,74836,26141,Break
2023-01-02,00006,6398097,1999,INR,Deferred Costs,Deferred Costs,107581,58423,49158,Break
2023-01-11,00002,7930352,2633,ALL,Deferred Costs,Deferred Costs,119719,90832,28887,Break
2023-01-30,00003,7137932,5093,INR,Principal,Deferred Costs,115022,39725,75297,Break
2023-01-23,00002,9351613,1926,AFN,Principal,Principal,32397,35537,-3140,Break
2023-01-17,00003,9115249,4875,ISO-4217,Deferred Costs,Principal,99403,57559,41844,Break
2023-01-05,00004,5328451,6721,ALL,Principal,Deferred Costs,79857,64059,15798,Break
2023-01-12,00004,9872536,5693,ISO-4217,Deferred Costs,Deferred Costs,79644,92211,-12567,Break
2023-01-25,00001,9880759,2528,EUR,Principal,Deferred Costs,67159,57051,10108,Break
2023-01-30,00004,7886330,5830,AFN,Principal,Deferred Costs,71714,62764,8950,Break
2023-01-26,00006,3887563,4799,AFN,Principal,Principal,91113,92181,-1068,Break
2023-01-04,00004,3533645,1671,EUR,Deferred Costs,Deferred Costs,47109,94066,-46957,Break
2023-01-23,00002,7302656,2732,ISO-4217,Principal,Deferred Costs,47306,50816,-3510,Break
2023-01-30,00005,9206075,5024,EUR,Principal,Principal,104774,61678,43096,Break
2023-01-06,00002,7325121,1486,ALL,Deferred Costs,Deferred Costs,72568,37397,35171,Break
2023-01-11,00005,7146038,2174,ISO-4217,Deferred Costs,Deferred Costs,105154,47201,57953,Break
2023-01-14,00006,9564232,3994,ISO-4217,Principal,Deferred Costs,101312,56836,44476,Break
2023-01-30,00006,1675442,5456,INR,Principal,Principal,100340,100366,-26,Break
2023-01-02,00002,2167812,4025,ISO-4217,Deferred Costs,Deferred Costs,34681,84488,-49807,Break
2023-01-17,00003,1793028,1648,AFN,Principal,Principal,44793,108070,-63277,Break
2023-01-28,00005,8682402,3633,USD,Principal,Deferred Costs,62515,90921,-28406,Break
2023-01-03,00005,1209466,6861,USD,Deferred Costs,Deferred Costs,119501,87197,32304,Break
2023-01-13,00003,4018219,5461,AFN,Principal,Principal,52270,59885,-7615,Break
2023-01-23,00005,1569577,4549,USD,Principal,Principal,106045,103497,2548,Break
2023-01-14,00005,7770421,1854,ALL,Principal,Deferred Costs,100034,64401,35633,Break
2023-01-11,00006,9102358,6946,EUR,Principal,Deferred Costs,31023,116136,-85113,Break
2023-01-18,00001,9966548,4635,INR,Deferred Costs,Deferred Costs,80543,53307,27236,Break
2023-01-15,00006,7584263,5816,EUR,Deferred Costs,Principal,57012,76024,-19012,Break
2023-01-07,00004,8727167,2365,EUR,Principal,Deferred Costs,65111,58899,6212,Break
2023-01-24,00002,1732061,4682,USD,Principal,Principal,51656,117289,-65633,Break
2023-01-03,00005,2139138,6008,INR,Deferred Costs,Principal,104073,30438,73635,Break
2023-01-11,00006,7346768,5049,ISO-4217,Deferred Costs,Deferred Costs,118486,44987,73499,Break
2023-01-18,00005,7255820,5746,ISO-4217,Principal,Deferred Costs,93720,57194,36526,Break
2023-01-03,00001,5130699,5549,ALL,Principal,Deferred Costs,114854,60533,54321,Break
2023-01-14,00004,7114588,5326,ALL,Principal,Deferred Costs,83140,100908,-17768,Break
2023-01-24,00002,8754740,2589,EUR,Deferred Costs,Principal,77446,70742,6704,Break
2023-01-19,00006,5390171,3081,ISO-4217,Deferred Costs,Principal,66447,77289,-10842,Break
2023-01-03,00006,3863667,3940,AFN,Deferred Costs,Principal,102633,105294,-2661,Break
2023-01-26,00006,2571046,3581,ISO-4217,Principal,Deferred Costs,93032,85098,7934,Break
2023-01-18,00002,3009507,6625,ISO-4217,Principal,Principal,107880,51982,55898,Break
2023-01-25,00004,5422262,6274,ALL,Principal,Deferred Costs,51729,78115,-26386,Break
2023-01-17,00004,7194021,5917,EUR,Deferred Costs,Deferred Costs,37369,40969,-3600,Break
2023-01-22,00002,4440348,4805,INR,Principal,Principal,78801,81180,-2379,Break
2023-01-26,00002,7017961,3181,USD,Deferred Costs,Principal,88865,81693,7172,Break
2023-01-02,00006,3420305,1176,ALL,Deferred Costs,Deferred Costs,113443,39033,74410,Break
2023-01-11,00002,2730302,2261,EUR,Deferred Costs,Deferred Costs,103511,92414,11097,Break
2023-01-14,00001,6112155,6946,ISO-4217,Deferred Costs,Principal,74385,74250,135,Break
2023-01-03,00006,4461321,3742,AFN,Principal,Deferred Costs,92035,55746,36289,Break
2023-01-10,00002,4550779,2794,AFN,Deferred Costs,Deferred Costs,65725,104910,-39185,Break
2023-01-25,00005,4847854,1477,USD,Principal,Deferred Costs,111632,54067,57565,Break
2023-01-18,00002,4542480,2001,ALL,Deferred Costs,Deferred Costs,42799,35694,7105,Break
2023-01-14,00003,9319589,2242,AFN,Principal,Principal,77967,48322,29645,Break
2023-01-30,00006,1840366,2765,EUR,Principal,Deferred Costs,72356,60863,11493,Break
2023-01-30,00004,2566490,6879,EUR,Deferred Costs,Principal,112664,52176,60488,Break
2023-01-17,00001,8828309,3319,INR,Principal,Deferred Costs,118970,57893,61077,Break
2023-01-19,00005,4571017,5271,INR,Deferred Costs,Principal,94692,105175,-10483,Break
2023-01-23,00001,3142987,5672,USD,Principal,Deferred Costs,46432,93130,-46698,Break
2023-01-10,00001,4102653,6971,EUR,Deferred Costs,Deferred Costs,113404,66272,47132,Break
2023-01-22,00001,1554839,4928,INR,Deferred Costs,Principal,92342,98509,-6167,Break
2023-01-13,00004,7676539,5961,INR,Deferred Costs,Principal,73175,66116,7059,Break
2023-01-28,00005,4068440,5571,ALL,Deferred Costs,Deferred Costs,47646,69143,-21497,Break
2023-01-19,00005,9271135,5680,USD,Principal,Principal,57198,107180,-49982,Break
2023-01-12,00001,1775926,5280,USD,Principal,Principal,34553,39872,-5319,Break
2023-01-19,00002,9624376,2183,USD,Deferred Costs,Principal,67498,48977,18521,Break
2023-01-24,00006,3800860,3682,USD,Deferred Costs,Deferred Costs,30134,93122,-62988,Break
2023-01-19,00002,6092865,1944,ALL,Deferred Costs,Principal,92878,76257,16621,Break
2023-01-11,00001,1830122,5530,INR,Principal,Deferred Costs,57016,55894,1122,Break
2023-01-21,00003,1769393,1514,ISO-4217,Principal,Deferred Costs,42829,37427,5402,Break
2023-01-05,00005,5042158,5747,INR,Principal,Deferred Costs,86742,61669,25073,Break
2023-01-25,00005,1766550,4214,USD,Deferred Costs,Principal,117285,91048,26237,Break
2023-01-30,00003,5930820,6153,ALL,Principal,Deferred Costs,31394,75633,-44239,Break
2023-01-28,00003,9110948,6777,USD,Principal,Deferred Costs,105853,43252,62601,Break
2023-01-04,00003,8466827,1703,INR,Principal,Principal,114520,37025,77495,Break
2023-01-10,00002,7195191,5130,ALL,Principal,Principal,32585,36416,-3831,Break
2023-01-07,00001,2263496,4558,ALL,Principal,Deferred Costs,110100,112529,-2429,Break
2023-01-22,00001,2699143,1658,ALL,Deferred Costs,Deferred Costs,46128,118913,-72785,Break
2023-01-06,00005,3439259,1790,AFN,Principal,Principal,109341,34317,75024,Break
2023-01-19,00005,6375933,2994,EUR,Deferred Costs,Deferred Costs,69764,30296,39468,Break
2023-01-26,00003,1282818,1863,EUR,Principal,Deferred Costs,63976,95301,-31325,Break
2023-01-26,00005,6743057,1483,ALL,Principal,Deferred Costs,46067,55783,-9716,Break
2023-01-17,00006,7738141,1612,EUR,Deferred Costs,Deferred Costs,82090,109204,-27114,Break
2023-01-26,00004,6713290,6967,AFN,Deferred Costs,Principal,53191,107029,-53838,Break
2023-01-01,00006,9567769,4821,INR,Principal,Deferred Costs,78547,117397,-38850,Break
2023-01-18,00006,9703070,1867,EUR,Deferred Costs,Principal,79783,56155,23628,Break
2023-01-15,00001,2892212,5875,ALL,Deferred Costs,Deferred Costs,87873,39387,48486,Break
2023-01-10,00001,1218851,6842,INR,Deferred Costs,Principal,64164,48707,15457,Break
2023-01-05,00003,3718463,5606,ISO-4217,Deferred Costs,Deferred Costs,33176,30615,2561,Break
2023-01-06,00001,1704269,5892,ALL,Principal,Deferred Costs,36395,40280,-3885,Break
2023-01-02,00001,4980668,5829,EUR,Deferred Costs,Deferred Costs,84408,90685,-6277,Break
2023-01-02,00004,3168003,6454,EUR,Deferred Costs,Principal,100082,104977,-4895,Break
2023-01-21,00006,9130202,3854,ISO-4217,Principal,Deferred Costs,58335,42986,15349,Break
2023-01-03,00006,3315493,4115,EUR,Principal,Deferred Costs,45169,117462,-72293,Break
2023-01-24,00002,3717671,3760,INR,Principal,Deferred Costs,67767,119495,-51728,Break
2023-01-28,00004,5375494,3513,USD,Deferred Costs,Principal,61961,44399,17562,Break
2023-01-01,00005,3387801,2814,AFN,Principal,Deferred Costs,44697,30130,14567,Break
2023-01-04,00002,6197886,1150,INR,Deferred Costs,Principal,33088,91392,-58304,Break
2023-01-28,00005,8954701,5828,INR,Principal,Deferred Costs,41921,117878,-75957,Break
2023-01-09,00005,7566392,5266,USD,Deferred Costs,Deferred Costs,97468,97591,-123,Break
2023-01-16,00004,9032614,4326,ISO-4217,Principal,Principal,88880,57096,31784,Break
2023-01-19,00002,9925939,5601,ALL,Deferred Costs,Deferred Costs,68375,65782,2593,Break
2023-01-05,00001,6273988,1186,INR,Principal,Principal,68683,43352,25331,Break
2023-01-04,00001,6431705,2454,ALL,Deferred Costs,Deferred Costs,84718,42663,42055,Break
2023-01-19,00003,5716952,5342,INR,Deferred Costs,Principal,93646,61057,32589,Break
2023-01-17,00002,9314295,4131,ISO-4217,Deferred Costs,Principal,109123,36753,72370,Break
2023-01-30,00003,1397694,6239,ISO-4217,Principal,Deferred Costs,109388,37321,72067,Break
2023-01-07,00001,2265821,3296,USD,Principal,Principal,43836,111009,-67173,Break
2023-01-22,00006,4833829,5409,AFN,Principal,Deferred Costs,112133,30114,82019,Break
2023-01-03,00002,7024024,4911,USD,Principal,Principal,104373,78491,25882,Break
2023-01-25,00005,5233105,3181,INR,Principal,Principal,59603,106347,-46744,Break
2023-01-16,00002,5945597,6869,AFN,Principal,Principal,62584,72208,-9624,Break
2023-01-22,00004,6525747,5933,INR,Principal,Deferred Costs,53181,33901,19280,Break
2023-01-28,00005,7027670,6536,ALL,Deferred Costs,Deferred Costs,93395,36752,56643,Break
2023-01-24,00006,5789634,3266,AFN,Deferred Costs,Principal,65607,98453,-32846,Break
2023-01-17,00004,7622176,5931,USD,Principal,Deferred Costs,52782,100704,-47922,Break
2023-01-29,00003,4178883,5453,INR,Deferred Costs,Principal,52484,44492,7992,Break
2023-01-19,00002,5151282,2947,USD,Principal,Principal,95150,48418,46732,Break
2023-01-12,00004,8006226,5368,ISO-4217,Deferred Costs,Principal,66185,34977,31208,Break
2023-01-01,00002,3119950,2183,EUR,Principal,Principal,111805,44285,67520,Break
2023-01-25,00006,3902038,2239,USD,Deferred Costs,Principal,71360,95854,-24494,Break
2023-01-22,00004,8975265,3804,ALL,Principal,Principal,65863,48453,17410,Break
2023-01-04,00001,7507031,5087,AFN,Deferred Costs,Principal,47030,112061,-65031,Break
2023-01-28,00001,9254192,6528,AFN,Deferred Costs,Deferred Costs,90566,86635,3931,Break
2023-01-30,00004,1532749,2007,EUR,Principal,Principal,37611,48956,-11345,Break
2023-01-01,00005,4865552,5574,USD,Principal,Principal,86263,97648,-11385,Break
2023-01-23,00005,3301958,5000,INR,Principal,Principal,95629,46185,49444,Break
2023-01-18,00006,7414806,4398,INR,Deferred Costs,Deferred Costs,48669,35168,13501,Break
2023-01-22,00006,7657110,4174,INR,Deferred Costs,Principal,66963,63192,3771,Break
2023-01-28,00002,1818129,1160,ISO-4217,Deferred Costs,Deferred Costs,107524,57225,50299,Break
2023-01-30,00001,9959838,1030,ALL,Deferred Costs,Deferred Costs,43112,40012,3100,Break
2023-01-12,00002,1239257,4718,EUR,Principal,Deferred Costs,88322,40044,48278,Break
2023-01-30,00005,4222557,3905,AFN,Principal,Deferred Costs,72503,47999,24504,Break
2023-01-18,00006,9279599,5197,EUR,Principal,Principal,114785,115807,-1022,Break
2023-01-21,00004,6596623,1938,EUR,Principal,Deferred Costs,72732,107386,-34654,Break
2023-01-25,00002,5738290,2773,INR,Deferred Costs,Principal,93222,68286,24936,Break
2023-01-09,00004,6875025,5952,ALL,Deferred Costs,Deferred Costs,86503,72579,13924,Break
2023-01-05,00004,7415876,6408,ALL,Principal,Deferred Costs,109974,76166,33808,Break
2023-01-18,00002,3038602,4761,ISO-4217,Principal,Deferred Costs,48630,101173,-52543,Break
2023-01-13,00005,6567557,1035,AFN,Principal,Deferred Costs,91475,80541,10934,Break
2023-01-29,00002,8198450,6580,AFN,Principal,Deferred Costs,62343,104767,-42424,Break
2023-01-05,00006,6735339,6278,ISO-4217,Deferred Costs,Principal,39561,51720,-12159,Break
2023-01-09,00001,9714923,4392,INR,Deferred Costs,Principal,66226,118159,-51933,Break
2023-01-14,00005,8850539,3362,ISO-4217,Principal,Deferred Costs,80346,96410,-16064,Break
2023-01-18,00004,9863965,4749,ISO-4217,Deferred Costs,Principal,106921,47705,59216,Break
2023-01-03,00001,5635131,4809,USD,Deferred Costs,Deferred Costs,66060,54102,11958,Break
2023-01-27,00002,6002359,1298,EUR,Deferred Costs,Deferred Costs,54835,99152,-44317,Break
2023-01-24,00004,8160583,5240,ISO-4217,Principal,Principal,88535,78403,10132,Break
2023-01-26,00005,7981711,5917,ISO-4217,Principal,Deferred Costs,85237,38853,46384,Break
2023-01-03,00006,5705286,3998,ISO-4217,Deferred Costs,Principal,68070,110316,-42246,Break
2023-01-08,00006,5676909,5187,INR,Principal,Deferred Costs,50360,70427,-20067,Break
2023-01-22,00006,5845869,1487,ALL,Deferred Costs,Deferred Costs,57628,89052,-31424,Break
2023-01-26,00004,1562136,6261,EUR,Deferred Costs,Principal,35907,33280,2627,Break
2023-01-15,00005,2151907,1090,AFN,Deferred Costs,Principal,94264,50826,43438,Break
2023-01-07,00003,4403070,5205,USD,Deferred Costs,Deferred Costs,40587,47777,-7190,Break
2023-01-22,00006,5789569,6737,AFN,Deferred Costs,Principal,89669,84673,4996,Break
2023-01-17,00004,2368507,1851,ISO-4217,Principal,Principal,41470,31875,9595,Break
2023-01-03,00005,8825350,3852,EUR,Principal,Deferred Costs,60171,97006,-36835,Break
2023-01-03,00005,4254775,5389,ISO-4217,Principal,Deferred Costs,44513,60761,-16248,Break
2023-01-21,00006,5931428,4060,EUR,Deferred Costs,Deferred Costs,79098,71394,7704,Break
2023-01-13,00004,6362827,1198,EUR,Deferred Costs,Deferred Costs,46364,74083,-27719,Break
2023-01-15,00002,9734421,6417,ALL,Deferred Costs,Principal,37444,113919,-76475,Break
2023-01-23,00003,7951305,2798,USD,Principal,Principal,66228,86997,-20769,Break
2023-01-21,00001,3746026,3091,ISO-4217,Principal,Deferred Costs,91842,78540,13302,Break
2023-01-04,00004,5955778,4094,ALL,Deferred Costs,Deferred Costs,32824,114005,-81181,Break
2023-01-12,00001,3009366,2677,ISO-4217,Deferred Costs,Principal,91662,74792,16870,Break
2023-01-13,00003,4919692,4508,ALL,Principal,Deferred Costs,89750,100229,-10479,Break
2023-01-21,00003,4443933,3044,USD,Principal,Deferred Costs,40274,89591,-49317,Break
2023-01-01,00004,1333246,4748,ISO-4217,Principal,Deferred Costs,114290,92808,21482,Break
2023-01-01,00003,9124807,5557,EUR,Deferred Costs,Deferred Costs,72159,71955,204,Break
2023-01-09,00001,1811041,6954,EUR,Deferred Costs,Principal,42157,114390,-72233,Break
2023-01-10,00001,8247652,2922,INR,Principal,Principal,40318,58618,-18300,Break
2023-01-23,00001,7871586,3481,ISO-4217,Deferred Costs,Deferred Costs,52285,46931,5354,Break
2023-01-08,00002,2957502,1636,EUR,Principal,Principal,92020,63379,28641,Break
2023-01-02,00004,2078416,1921,ISO-4217,Principal,Principal,78566,110127,-31561,Break
2023-01-27,00003,6622078,6655,ISO-4217,Deferred Costs,Deferred Costs,50383,73138,-22755,Break
2023-01-30,00006,2963589,6756,ALL,Deferred Costs,Deferred Costs,41738,53321,-11583,Break
2023-01-23,00003,3785285,5910,AFN,Principal,Deferred Costs,88232,89280,-1048,Break
2023-01-18,00006,9737213,3832,ISO-4217,Deferred Costs,Deferred Costs,68838,38026,30812,Break
2023-01-29,00004,6224369,2793,ALL,Deferred Costs,Deferred Costs,52905,55534,-2629,Break
2023-01-09,00002,2034299,4518,INR,Deferred Costs,Principal,103643,73216,30427,Break
2023-01-21,00003,8982256,4073,EUR,Principal,Principal,74135,100238,-26103,Break
2023-01-04,00001,9665056,4974,USD,Deferred Costs,Deferred Costs,113349,89855,23494,Break
2023-01-17,00001,3800508,1130,EUR,Principal,Principal,114379,115637,-1258,Break
2023-01-13,00002,8316345,6196,AFN,Deferred Costs,Deferred Costs,113148,66246,46902,Break
2023-01-15,00006,9638471,2126,INR,Deferred Costs,Principal,91544,36853,54691,Break
2023-01-11,00001,4173047,2541,INR,Deferred Costs,Deferred Costs,51572,60553,-8981,Break
2023-01-11,00001,5352349,6398,INR,Principal,Principal,90948,85555,5393,Break
2023-01-17,00003,9861464,5207,EUR,Principal,Deferred Costs,114604,110236,4368,Break
2023-01-13,00004,4557366,6636,AFN,Deferred Costs,Deferred Costs,46528,66452,-19924,Break
2023-01-15,00005,8820664,6492,USD,Principal,Deferred Costs,111890,84556,27334,Break
2023-01-26,00006,3370580,6844,ALL,Principal,Deferred Costs,85821,100828,-15007,Break
2023-01-18,00002,5571160,4679,ALL,Principal,Deferred Costs,114465,71879,42586,Break
2023-01-07,00005,8279700,2655,AFN,Principal,Deferred Costs,57296,109634,-52338,Break
2023-01-24,00003,6584796,4162,USD,Deferred Costs,Deferred Costs,68396,114364,-45968,Break
2023-01-18,00003,2365431,4594,EUR,Deferred Costs,Deferred Costs,34234,49632,-15398,Break
2023-01-22,00001,5996971,2485,USD,Principal,Deferred Costs,81134,79104,2030,Break
